,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,대창솔루션,447,447,337,103,29.94%,108.11M,11월 29일,
,포스코엠텍,"10,050","10,900","8,900",820,8.88%,41.98M,11월 29일,
,웰크론한텍,"6,600","7,490","6,470",230,3.61%,20.03M,11월 29일,
,KH E T,524,557,496,11,2.14%,18.75M,11월 29일,
,중앙디앤엠,628,729,570,30,5.02%,17.75M,11월 29일,
,기산텔레콤,"3,495","3,585","2,775",685,24.38%,16.51M,11월 29일,
,시티랩스,694,853,686,26,3.89%,12.29M,11월 29일,
,SBI인베스트먼트,"1,235","1,325","1,210",15,1.23%,11.49M,11월 29일,
,덕신하우징,"2,395","2,435","2,185",135,5.97%,11.18M,11월 29일,
,한국테크놀로지,"1,250","1,255","1,190",60,5.04%,10.43M,11월 29일,
,희림,"11,850","12,250","10,200",1400,13.40%,9.51M,11월 29일,
,셀루메드,"5,120","5,540","4,230",845,19.77%,9.03M,11월 29일,
,스킨앤스킨,274,282,266,0,0.00%,6.93M,11월 29일,
,SM Life Design,"3,110","3,235","2,970",65,2.13%,6.56M,11월 29일,
,에스와이,"4,845","4,985","4,685",0,0.00%,6.50M,11월 29일,
,폴라리스우노,"1,000","1,070",955,31,3.20%,6.22M,11월 29일,
,이브이첨단소재,"1,195","1,245","1,165",-35,-2.85%,6.19M,11월 29일,
,AP위성,"11,650","12,450","10,300",1050,9.91%,6.03M,11월 29일,
,위메이드,"35,450","36,200","33,100",1450,4.26%,4.88M,11월 29일,
,국일제지,"2,920","2,920","2,675",220,8.15%,4.14M,11월 29일,
,드래곤플라이,"1,095","1,215","1,070",-90,-7.59%,4.00M,11월 29일,
,감성코퍼레이션,"1,590","1,730","1,440",120,8.16%,3.95M,11월 29일,
,서울리거,"1,090","1,140",963,107,10.89%,3.70M,11월 29일,
,하이드로리튬,"26,100","27,150","24,800",1900,7.85%,3.69M,11월 29일,
,삼천당제약,"44,550","44,550","38,200",10250,29.88%,3.31M,11월 29일,
,비츠로테크,"6,730","7,500","6,200",440,7.00%,3.23M,11월 29일,
,위메이드맥스,"12,250","12,600","11,350",600,5.15%,3.18M,11월 29일,
,키이스트,"8,520","9,200","8,040",380,4.67%,2.88M,11월 29일,
,옵투스제약,"6,470","7,250","6,090",400,6.59%,2.84M,11월 29일,
,윈하이텍,"4,320","4,400","3,845",200,4.85%,2.60M,11월 29일,
,미래나노텍,"20,750","21,900","20,350",-50,-0.24%,2.45M,11월 29일,
,고려시멘트,"2,865","3,045","2,760",5,0.17%,2.45M,11월 29일,
,성우하이텍,"5,920","5,940","5,710",140,2.42%,2.42M,11월 29일,
,에이티세미콘,"1,310","1,380","1,305",-90,-6.43%,2.21M,11월 29일,
,이루온,"2,895","3,075","2,780",-120,-3.98%,2.19M,11월 29일,
,기가레인,"1,815","1,815","1,710",20,1.11%,2.11M,11월 29일,
,SCI평가정보,"3,725","3,795","3,635",75,2.05%,1.91M,11월 29일,
,디모아,634,660,614,1,0.16%,1.90M,11월 29일,
,신화콘텍,"5,900","5,940","5,450",370,6.69%,1.90M,11월 29일,
,나무가,"16,500","16,850","15,750",400,2.48%,1.82M,11월 29일,
,대한광통신,"2,880","2,935","2,790",60,2.13%,1.79M,11월 29일,
,홈센타홀딩스,"1,290","1,315","1,260",5,0.39%,1.71M,11월 29일,
,넥스턴,"2,200","2,300","2,200",-65,-2.87%,1.71M,11월 29일,
,이노시스,"1,010","1,015",951,41,4.23%,1.66M,11월 29일,
,현우산업,"5,100","5,300","4,985",-50,-0.97%,1.62M,11월 29일,
,KH 일렉트론,320,328,306,8,2.56%,1.61M,11월 29일,
,엔투텍,890,890,802,70,8.54%,1.61M,11월 29일,
,대아티아이,"3,890","4,020","3,865",-20,-0.51%,1.49M,11월 29일,
,버킷스튜디오,"1,325","1,355","1,255",20,1.53%,1.48M,11월 29일,
,휴림로봇,"2,105","2,110","2,075",10,0.48%,1.48M,11월 29일,
,HLB,"32,500","33,450","31,600",-700,-2.11%,1.47M,11월 29일,
,플랜티넷,"2,680","3,090","2,630",60,2.29%,1.46M,11월 29일,
,푸른저축은행,"12,700","13,350","12,250",450,3.67%,1.45M,11월 29일,
,코리아나,"3,095","3,140","2,870",180,6.17%,1.45M,11월 29일,
,파라다이스,"16,900","17,100","16,050",700,4.32%,1.44M,11월 29일,
,삼기,"4,195","4,290","4,080",-75,-1.76%,1.35M,11월 29일,
,조광ILI,"1,295","1,310","1,280",0,0.00%,1.33M,11월 29일,
,Cellfie Global,"1,705","1,775","1,670",-5,-0.29%,1.32M,11월 29일,
,시노펙스,"2,945","3,025","2,940",0,0.00%,1.31M,11월 29일,
,에스엘바이오닉스,299,303,296,0,0.00%,1.31M,11월 29일,
,CBI,304,307,299,2,0.66%,1.29M,11월 29일,
,한국선재,"5,000","5,330","4,965",-110,-2.15%,1.27M,11월 29일,
,바이온,"1,230","1,300","1,185",-40,-3.15%,1.26M,11월 29일,
,에코플라스틱,"3,475","3,505","3,385",25,0.72%,1.26M,11월 29일,
,한국정보통신,"14,000","15,050","13,700",-550,-3.78%,1.23M,11월 29일,
,대성파인텍,"1,835","1,875","1,810",-25,-1.34%,1.23M,11월 29일,
,캠시스,"2,115","2,150","2,090",20,0.95%,1.22M,11월 29일,
,엔에스,"9,150","9,360","8,810",-900,-8.96%,1.22M,11월 29일,
,자연과환경,"1,195","1,210","1,175",0,0.00%,1.21M,11월 29일,
,뉴프렉스,"7,750","7,950","7,590",-180,-2.27%,1.21M,11월 29일,
,덱스터,"13,550","13,950","12,800",450,3.44%,1.21M,11월 29일,
,룽투코리아,"3,305","3,360","3,265",-105,-3.08%,1.16M,11월 29일,
,디젠스,"1,155","1,165","1,130",10,0.87%,1.12M,11월 29일,
,상지카일룸,617,630,590,-5,-0.80%,1.11M,11월 29일,
,연우,"16,500","17,100","13,150",3250,24.53%,1.09M,11월 29일,
,YTN,"6,070","6,440","6,020",60,1.00%,1.04M,11월 29일,
,SM C&C,"3,480","3,550","3,420",0,0.00%,1.02M,11월 29일,
,솔고바이오,518,520,507,-12,-2.26%,1.01M,11월 29일,
,Hyulim Networks,981,987,961,2,0.20%,990.48K,11월 29일,
,KD건설,832,910,820,4,0.48%,988.67K,11월 29일,
,글로벌텍스프리,"2,725","2,760","2,540",165,6.45%,940.52K,11월 29일,
,코리아에프티,"2,910","2,930","2,780",95,3.37%,936.00K,11월 29일,
,비보존 헬스케어,637,668,609,-27,-4.07%,930.12K,11월 29일,
,영풍정밀,"15,950","16,250","15,400",200,1.27%,923.11K,11월 29일,
,우리산업,"5,320","5,600","5,220",170,3.30%,914.63K,11월 29일,
,아가방컴퍼니,"3,470","3,590","3,315",70,2.06%,911.68K,11월 29일,
,신화인터텍,"3,805","3,930","3,720",-85,-2.19%,884.95K,11월 29일,
,위메이드플레이,"15,250","15,550","14,800",50,0.33%,875.76K,11월 29일,
,테고사이언스,"13,950","16,800","12,250",-2850,-16.96%,870.79K,11월 29일,
,국영지앤엠,"1,700","1,780","1,665",-15,-0.87%,870.04K,11월 29일,
,비츠로시스,"1,610","1,720","1,535",35,2.22%,842.41K,11월 29일,
,삼진엘앤디,"3,155","3,220","3,075",60,1.94%,838.91K,11월 29일,
,엠에스오토텍,"4,760","5,200","4,660",-55,-1.14%,828.50K,11월 29일,
,엔에스엔,"1,000","1,020",990,-10,-0.99%,788.35K,11월 29일,
,에스엠,"80,300","81,700","76,900",2800,3.61%,784.85K,11월 29일,
,CMG제약,"2,065","2,080","2,020",30,1.47%,783.92K,11월 29일,
,쎄노텍,"1,820","1,820","1,750",0,0.00%,779.25K,11월 29일,
,일야,"1,485","1,510","1,430",35,2.41%,761.39K,11월 29일,
,팬엔터테인먼트,"4,200","4,230","3,975",175,4.35%,754.56K,11월 29일,
,알티캐스트,"2,185","2,185","2,095",95,4.55%,743.65K,11월 29일,
,동국산업,"4,765","4,775","4,470",45,0.95%,737.71K,11월 29일,
,남화토건,"8,990","9,520","8,780",40,0.45%,727.74K,11월 29일,
,에이루트,456,459,445,2,0.44%,724.23K,11월 29일,
,삼화네트웍스,"2,840","2,880","2,800",-75,-2.57%,716.39K,11월 29일,
,인트론바이오,"8,900","9,450","8,590",230,2.65%,709.13K,11월 29일,
,웰크론강원,"10,450","10,650","10,150",150,1.46%,702.73K,11월 29일,
,에코프로,"135,300","135,500","130,300",5100,3.92%,685.77K,11월 29일,
,휴마시스,"15,900","16,200","15,700",-200,-1.24%,675.69K,11월 29일,
,오리콤,"7,550","7,900","7,220",360,5.01%,662.24K,11월 29일,
,율호,"1,715","1,765","1,690",-35,-2.00%,656.94K,11월 29일,
,웰크론,"3,165","3,370","3,160",-35,-1.09%,654.71K,11월 29일,
,인콘,"1,240","1,240","1,200",25,2.06%,648.34K,11월 29일,
,한국맥널티,"5,880","6,110","5,800",-90,-1.51%,638.90K,11월 29일,
,삼보모터스,"6,120","6,120","5,840",240,4.08%,626.97K,11월 29일,
,코위버,"7,120","7,620","6,740",260,3.79%,618.68K,11월 29일,
,미스터블루,"7,000","7,000","6,670",100,1.45%,614.18K,11월 29일,
,쇼박스,"4,240","4,240","4,070",70,1.68%,605.77K,11월 29일,
,에이치엘비생명과학,"10,600","10,850","10,200",100,0.95%,604.96K,11월 29일,
,빅텍,"5,580","5,620","5,510",20,0.36%,603.35K,11월 29일,
,와이지엔터테인먼트,"44,900","44,950","42,200",2450,5.77%,603.03K,11월 29일,
,리더스 기술투자,475,477,451,17,3.71%,597.91K,11월 29일,
,에스티큐브,"17,850","18,150","16,800",900,5.31%,589.26K,11월 29일,
,광림,"1,215","1,220","1,185",5,0.41%,583.62K,11월 29일,
,에이비프로바이오,520,552,512,2,0.39%,581.80K,11월 29일,
,경동제약,"7,900","8,190","7,490",350,4.64%,559.86K,11월 29일,
,알테오젠,"37,850","38,900","36,950",600,1.61%,551.73K,11월 29일,
,비덴트,"4,005","4,005","3,780",120,3.09%,536.61K,11월 29일,
,썸에이지,723,737,715,-9,-1.23%,534.69K,11월 29일,
,우리기술투자,"4,460","4,465","4,335",85,1.94%,533.57K,11월 29일,
,아이에이,695,698,692,0,0.00%,533.29K,11월 29일,
,서울제약,"4,655","5,280","4,430",135,2.99%,519.76K,11월 29일,
,로체시스템즈,"8,570","8,700","7,910",530,6.59%,517.96K,11월 29일,
,큐브엔터,"20,800","21,300","20,000",300,1.46%,498.52K,11월 29일,
,파라텍,928,935,910,1,0.11%,490.85K,11월 29일,
,세동,"1,510","1,515","1,410",50,3.42%,489.91K,11월 29일,
,다날,"5,650","5,690","5,520",90,1.62%,487.05K,11월 29일,
,하림,"2,720","2,725","2,665",-5,-0.18%,487.00K,11월 29일,
,오르비텍,"5,150","5,240","5,040",30,0.59%,486.64K,11월 29일,
,NEW,"7,530","7,740","7,350",-250,-3.21%,484.29K,11월 29일,
,알톤스포츠,"4,560","4,660","4,380",95,2.13%,479.73K,11월 29일,
,디이엔티,"10,250","10,450","10,000",100,0.99%,475.71K,11월 29일,
,무림SP,"2,930","2,955","2,870",15,0.51%,468.09K,11월 29일,
,아난티,"6,290","6,350","6,050",160,2.61%,462.93K,11월 29일,
,갤럭시아머니트리,"5,190","5,410","5,100",-280,-5.12%,462.74K,11월 29일,
,형지I&C,"2,170","2,265","2,140",-25,-1.14%,459.58K,11월 29일,
,삼보산업,"1,080","1,100","1,030",35,3.35%,456.62K,11월 29일,
,대주산업,"2,595","2,610","2,580",10,0.39%,451.85K,11월 29일,
,바른손,"2,810","2,925","2,805",-110,-3.77%,451.53K,11월 29일,
,금강철강,"7,220","7,390","7,020",100,1.40%,450.64K,11월 29일,
,스튜디오산타클로스,"9,170","9,260","8,970",-30,-0.33%,444.24K,11월 29일,
,씨씨에스,680,680,630,38,5.92%,436.77K,11월 29일,
,현대에버다임,"9,020","9,100","8,750",30,0.33%,435.14K,11월 29일,
,세종텔레콤,719,725,690,15,2.13%,432.77K,11월 29일,
,본느,"1,740","1,750","1,595",75,4.50%,431.85K,11월 29일,
,다산네트웍스,"4,455","4,740","4,205",210,4.95%,423.25K,11월 29일,
,에스아이리소스,625,650,599,-24,-3.70%,420.00K,11월 29일,
,골드퍼시픽,470,485,465,-15,-3.09%,415.67K,11월 29일,
,초록뱀컴퍼니,604,606,583,4,0.67%,410.07K,11월 29일,
,제이스텍,"9,300","9,400","8,800",440,4.97%,404.10K,11월 29일,
,브레인콘텐츠,"3,525","3,600","3,415",95,2.77%,401.13K,11월 29일,
,티케이케미칼,"3,280","3,280","3,195",30,0.92%,390.09K,11월 29일,
,엠피대산,445,447,433,0,0.00%,387.24K,11월 29일,
,코세스,"10,850","11,000","10,550",350,3.33%,387.23K,11월 29일,
,대성창투,"2,955","3,000","2,905",10,0.34%,385.03K,11월 29일,
,팜스토리,"1,975","1,990","1,950",10,0.51%,380.45K,11월 29일,
,해성옵틱스,521,551,521,-21,-3.87%,378.11K,11월 29일,
,씨티씨바이오,"7,080","7,900","6,920",80,1.14%,377.43K,11월 29일,
,서희건설,"1,260","1,270","1,245",0,0.00%,377.30K,11월 29일,
,다우데이타,"25,400","25,650","24,750",150,0.59%,376.07K,11월 29일,
,엔케이맥스,"15,850","16,150","15,300",200,1.28%,371.23K,11월 29일,
,클라우드에어,"1,150","1,165","1,125",-5,-0.43%,370.81K,11월 29일,
,보성파워텍,"4,245","4,250","4,150",15,0.35%,366.99K,11월 29일,
,주성엔지니어링,"12,500","12,600","12,300",0,0.00%,363.42K,11월 29일,
,하나마이크론,"10,700","10,850","10,350",200,1.90%,363.35K,11월 29일,
,이엠앤아이,"6,720","7,100","6,600",-430,-6.01%,362.14K,11월 29일,
,현대바이오,"26,800","27,300","26,350",450,1.71%,361.72K,11월 29일,
,플래스크,"1,445","1,470","1,385",-25,-1.70%,361.03K,11월 29일,
,비에이치,"26,150","26,250","25,600",200,0.77%,359.68K,11월 29일,
,미코,"9,310","9,320","9,010",70,0.76%,359.65K,11월 29일,
,에스피지,"17,900","18,000","17,650",100,0.56%,356.95K,11월 29일,
,한일사료,"5,480","5,500","5,420",10,0.18%,354.41K,11월 29일,
,티플랙스,"4,300","4,335","4,220",40,0.94%,352.67K,11월 29일,
,베셀,"6,190","6,270","5,990",120,1.98%,351.66K,11월 29일,
,진성티이씨,"14,650","14,850","14,250",-50,-0.34%,350.17K,11월 29일,
,엔브이에이치코리아,"4,010","4,030","3,700",20,0.50%,346.02K,11월 29일,
,수성,"1,500","1,510","1,470",15,1.01%,345.61K,11월 29일,
,동성화인텍,"11,100","11,250","10,950",-200,-1.77%,341.35K,11월 29일,
,유니트론텍,"4,350","4,370","4,200",90,2.11%,336.95K,11월 29일,
,서암기계공업,"7,000","7,060","6,570",90,1.30%,336.59K,11월 29일,
,화일약품,"2,150","2,170","2,110",0,0.00%,334.29K,11월 29일,
,케이피에프,"6,240","6,300","6,090",30,0.48%,331.29K,11월 29일,
,세토피아,"1,320","1,380","1,305",-60,-4.35%,331.12K,11월 29일,
,동아화성,"11,200","11,300","10,850",150,1.36%,326.19K,11월 29일,
,포스코 ICT,"6,390","6,400","6,050",250,4.07%,324.87K,11월 29일,
,아진산업,"2,750","2,760","2,670",50,1.85%,324.44K,11월 29일,
,에스에이엠티,"2,725","2,725","2,635",35,1.30%,323.63K,11월 29일,
,원익큐브,"2,450","2,490","2,385",15,0.62%,321.81K,11월 29일,
,아세아텍,"2,790","2,830","2,710",55,2.01%,321.02K,11월 29일,
,네이처셀,"18,550","18,850","17,800",400,2.20%,318.54K,11월 29일,
,SDN,"2,010","2,010","1,960",20,1.01%,318.08K,11월 29일,
,대원미디어,"14,700","15,050","14,400",200,1.38%,315.95K,11월 29일,
,네오티스,"5,170","5,220","5,070",90,1.77%,313.22K,11월 29일,
,옴니시스템,"1,730","1,735","1,705",-5,-0.29%,313.02K,11월 29일,
,제로투세븐,"6,780","6,890","6,200",390,6.10%,312.95K,11월 29일,
,NHN한국사이버결제,"13,750","13,850","13,400",0,0.00%,308.12K,11월 29일,
,대신정보통신,"1,310","1,330","1,275",25,1.95%,307.47K,11월 29일,
,코맥스,"3,315","3,450","3,165",105,3.27%,306.92K,11월 29일,
,코다코,"1,190","1,190","1,150",15,1.28%,305.25K,11월 29일,
,Exergy21,"2,450","2,545","2,445",-60,-2.39%,305.14K,11월 29일,
,코스나인,682,685,661,-3,-0.44%,302.05K,11월 29일,
,큐캐피탈,432,433,425,4,0.93%,300.26K,11월 29일,
,비에이치아이,"7,660","7,730","7,440",-60,-0.78%,300.24K,11월 29일,
,루트로닉,"19,800","19,800","19,000",750,3.94%,297.79K,11월 29일,
,씨젠,"33,200","33,300","31,800",1050,3.27%,296.55K,11월 29일,
,디엔에이링크,"3,790","4,520","3,725",-75,-1.94%,295.87K,11월 29일,
,THE E&M,356,363,350,1,0.28%,293.80K,11월 29일,
,쏠리드,"5,440","5,580","5,400",-80,-1.45%,293.62K,11월 29일,
,켐트로스,"9,100","9,180","8,790",250,2.82%,292.60K,11월 29일,
,성광벤드,"15,150","15,400","14,950",0,0.00%,291.51K,11월 29일,
,뉴보텍,890,915,884,-2,-0.22%,287.36K,11월 29일,
,아스트,"5,310","5,590","4,920",260,5.15%,286.46K,11월 29일,
,SBW생명과학,"1,315","1,320","1,225",65,5.20%,285.66K,11월 29일,
,한국캐피탈,748,750,741,3,0.40%,285.55K,11월 29일,
,GH신소재,"4,305","4,390","4,300",-5,-0.12%,285.09K,11월 29일,
,심텍,"33,150","33,250","32,350",200,0.61%,283.34K,11월 29일,
,쌍용정보통신,800,811,798,-15,-1.84%,280.32K,11월 29일,
,쎄트렉아이,"30,550","31,400","29,500",1450,4.98%,278.68K,11월 29일,
,삼강엠앤티,"23,200","23,550","22,850",-150,-0.64%,277.28K,11월 29일,
,SFA반도체,"4,500","4,515","4,325",135,3.09%,273.19K,11월 29일,
,랩지노믹스,"6,260","6,320","6,150",40,0.64%,272.97K,11월 29일,
,오스코텍,"19,500","20,150","17,950",1200,6.56%,270.20K,11월 29일,
,이랜텍,"12,550","12,600","12,200",150,1.21%,269.07K,11월 29일,
,휴맥스,"3,835","3,860","3,755",35,0.92%,268.68K,11월 29일,
,메이슨캐피탈,371,372,365,4,1.09%,268.37K,11월 29일,
,부방,"1,890","1,920","1,865",-5,-0.26%,268.17K,11월 29일,
,지에스이,"4,650","4,695","4,615",-20,-0.43%,263.67K,11월 29일,
,위즈코프,844,848,810,14,1.69%,261.88K,11월 29일,
,아이에스이커머스,"7,100","7,290","6,660",440,6.61%,259.51K,11월 29일,
,아프리카TV,"87,100","89,900","86,300",-600,-0.68%,258.87K,11월 29일,
,제이엔케이히터,"6,480","6,490","6,350",60,0.93%,256.89K,11월 29일,
,크로바하이텍,"1,375","1,390","1,345",0,0.00%,256.86K,11월 29일,
,코이즈,"2,330","2,390","2,310",-20,-0.85%,253.63K,11월 29일,
,톱텍,"7,460","7,790","7,460",-50,-0.67%,251.64K,11월 29일,
,엠벤처투자,"1,175","1,185","1,160",-5,-0.42%,251.09K,11월 29일,
,우원개발,"3,800","3,820","3,605",90,2.43%,249.39K,11월 29일,
,한탑,"1,340","1,410","1,300",10,0.75%,244.89K,11월 29일,
,우리바이오,"3,235","3,250","3,150",-25,-0.77%,244.09K,11월 29일,
,멕아이씨에스,"3,900","3,990","3,815",-75,-1.89%,243.56K,11월 29일,
,우림피티에스,"7,550","7,560","7,290",230,3.14%,242.50K,11월 29일,
,성도이엔지,"4,945","5,130","4,700",170,3.56%,242.21K,11월 29일,
,넥슨게임즈,"13,900","13,950","13,500",250,1.83%,241.51K,11월 29일,
,조이시티,"4,390","4,450","4,315",10,0.23%,239.61K,11월 29일,
,지더블유바이텍,693,713,671,2,0.29%,238.85K,11월 29일,
,로보스타,"20,400","21,100","19,200",1050,5.43%,238.65K,11월 29일,
,케이사인,"1,440","1,450","1,405",20,1.41%,238.02K,11월 29일,
,네오위즈,"40,200","41,200","39,550",-150,-0.37%,237.53K,11월 29일,
,오성첨단소재,"1,845","1,870","1,825",20,1.10%,236.30K,11월 29일,
,에이프로젠 H&G,377,383,372,2,0.53%,236.27K,11월 29일,
,유신,"42,550","43,450","40,200",800,1.92%,232.88K,11월 29일,
,디와이디대양,901,905,857,25,2.85%,231.38K,11월 29일,
,흥국에프엔비,"2,730","2,750","2,660",60,2.25%,227.65K,11월 29일,
,KH바텍,"15,300","15,500","14,950",150,0.99%,227.07K,11월 29일,
,씨아이에스,"12,650","12,750","12,500",50,0.40%,226.32K,11월 29일,
,삼륭물산,"5,580","5,670","5,500",-100,-1.76%,224.33K,11월 29일,
,JYP Ent.,"61,200","61,700","59,500",900,1.49%,221.59K,11월 29일,
,바이오로그디바이스,993,999,947,2,0.20%,220.55K,11월 29일,
,엑사이엔씨,"1,455","1,460","1,400",5,0.34%,219.23K,11월 29일,
,쎄니트,"1,855","1,870","1,790",45,2.49%,217.77K,11월 29일,
,상신이디피,"19,950","20,000","19,350",200,1.01%,215.55K,11월 29일,
,바이오니아,"33,900","33,950","32,350",1400,4.31%,214.84K,11월 29일,
,파트론,"8,650","8,720","8,390",140,1.65%,214.03K,11월 29일,
,유라테크,"8,510","8,640","8,340",60,0.71%,213.69K,11월 29일,
,iMBC,"3,900","3,965","3,840",40,1.04%,211.55K,11월 29일,
,BNGT,"2,360","2,400","2,320",-15,-0.63%,211.52K,11월 29일,
,피엔티,"50,300","50,600","49,100",-400,-0.79%,210.38K,11월 29일,
,엘앤에프,"217,000","217,600","212,600",4000,1.88%,209.60K,11월 29일,
,리노스,949,959,927,0,0.00%,207.30K,11월 29일,
,시그네틱스,"1,280","1,285","1,245",5,0.39%,205.55K,11월 29일,
,코센,"1,815","1,910","1,800",-60,-3.20%,204.78K,11월 29일,
,씨유메디칼,"1,205","1,215","1,185",0,0.00%,204.02K,11월 29일,
,케이씨피드,"2,815","2,825","2,730",-15,-0.53%,202.01K,11월 29일,
,소프트센,"1,510","1,510","1,475",5,0.33%,200.00K,11월 29일,
,초록뱀미디어,"11,850","11,850","11,050",550,4.87%,199.39K,11월 29일,
,메디프론,"1,380","1,380","1,320",-5,-0.36%,198.54K,11월 29일,
,파세코,"14,800","14,800","14,300",400,2.78%,198.29K,11월 29일,
,한일단조,"2,835","2,840","2,780",25,0.89%,195.70K,11월 29일,
