,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,멀른 오토모티브,0.1944,0.1988,0.192,0.0011,0.57%,48.88M,1:04:19,
,테슬라,183.2,186.38,181.46,0.28,0.15%,33.93M,1:04:19,
,애플,142.77,144.81,142.71,-1.45,-1.01%,25.13M,1:04:19,
,아마존닷컴,92.02,94.41,92.01,-1.93,-2.05%,21.55M,1:04:18,
,AMD,73.44,74.49,72.89,0.25,0.34%,20.26M,1:04:20,
,엔비디아,156.41,159.32,156.38,-1.85,-1.17%,11.22M,1:04:20,
,인텔,28.93,29.18,28.74,0.2,0.70%,6.18M,1:04:19,
,알파벳 A,94.82,96.12,94.82,-1.23,-1.28%,5.49M,1:04:19,
,마이크로소프트,239.66,242.78,239.65,-2.1,-0.87%,5.10M,1:04:19,
,플러그파워,15.13,15.45,15.01,0.21,1.41%,4.37M,1:04:17,
,노바백스,17.25,18.06,16.36,0.61,3.67%,4.07M,1:04:15,
,Statera Biopharma,0.13,0.134,0.112,0.013,10.92%,4.01M,1:03:40,
,시스코 시스템즈,48.08,48.41,47.95,0,0.00%,4.00M,1:04:17,
,컴캐스트,35.31,35.68,35.31,-0.28,-0.79%,3.60M,1:04:21,
,CSX,31.93,32.13,31.51,0.33,1.04%,3.34M,1:04:17,
,마이크론 테크놀로지,56.04,56.52,55.34,0.29,0.52%,3.19M,1:04:21,
,워너 브라더스 디스커버리,11.02,11.12,10.91,0.1,0.92%,3.13M,1:04:18,
,AGNC 인베스트먼트,9.65,9.71,9.56,0.01,0.16%,3.28M,1:04:15,
,베드 배스 앤드 비욘드,3.13,3.18,2.99,0.09,2.96%,3.03M,1:04:18,
,트립닷컴,29.42,29.49,28.45,1.31,4.66%,2.79M,1:04:18,
,Thermogenesis Holdings,0.138,0.14,0.12,0.02,16.65%,2.73M,1:04:17,
,액티비전 블리자드,74.27,74.45,73.82,-0.45,-0.60%,2.54M,1:04:20,
,윈 리조트,81.05,82.41,79.73,2.85,3.64%,2.47M,1:04:17,
,바이두,100.22,102.87,99.67,5.58,5.90%,2.28M,1:04:19,
,아미리스,1.66,1.75,1.65,-0.06,-3.22%,2.30M,1:04:09,
,라이엇 블록체인,4.26,4.38,4.21,0.01,0.24%,2.03M,1:04:13,
,헌팅턴 뱅크셰어스,15.24,15.3,15.07,0.2,1.30%,1.99M,1:04:12,
,마벨 테크놀로지,42.81,43.56,42.65,0.14,0.33%,1.84M,1:04:18,
,아파치,46.79,47.02,45.93,1.83,4.07%,1.75M,1:04:19,
,넷플릭스,278.41,282.88,277.89,-2.76,-0.98%,1.78M,1:04:17,
,시리우스 XM,6.4,6.42,6.35,0.02,0.31%,1.75M,1:04:21,
,퀄컴,119.81,121.37,119.76,0.27,0.23%,1.61M,1:04:18,
,퓨얼셀,3.275,3.33,3.25,0.015,0.46%,1.59M,1:04:19,
,Qurate Retail A,2.19,2.19,2.07,0.07,3.55%,1.55M,1:04:15,
,엑셀론,40.01,40.11,39.74,-0.23,-0.56%,1.45M,1:04:18,
,제트블루 항공,7.74,7.77,7.67,0.07,0.85%,1.42M,1:04:12,
,뉴웰브랜즈,12.97,13.07,12.82,0.08,0.62%,1.35M,1:04:16,
,포티넷,51.35,52.3,51.34,-0.73,-1.40%,1.29M,1:04:14,
,Ballard,5.73,5.79,5.65,0.08,1.42%,1.25M,1:04:21,
,Pan American Silver,15.4,15.68,15.18,0.45,3.01%,1.22M,1:04:17,
,큐리그 닥터 페퍼,38.15,38.34,38.05,-0.05,-0.13%,1.18M,1:04:12,
,스타벅스,98.77,99.33,98.45,0.11,0.11%,1.17M,1:04:17,
,길리어드 사이언시스,85.2,85.67,84.7,-0.01,-0.01%,1.14M,1:04:22,
,제보,2.025,2.05,1.98,0.045,2.27%,1.14M,1:04:15,
,Tenax Therapeutics,0.1425,0.1537,0.1415,-0.0096,-6.31%,1.18M,1:04:17,
,호스트 호텔 & 리조트,18.36,18.42,18.18,0.17,0.91%,1.17M,1:04:21,
,Ferroglobe,4.65,4.67,4.355,0.34,7.89%,1.08M,1:04:20,
,넷이즈,69.94,71.33,69.19,2.98,4.45%,1.04M,1:04:14,
,온 세미컨덕터,70.22,71,69.81,0.26,0.37%,1.04M,1:04:03,
,Baker Hughes,28.61,28.8,28.56,0.42,1.51%,1.04M,1:04:17,
,비아트리스,11.06,11.12,11.02,0,0.00%,1.06M,1:04:22,
,이베이,44.12,44.66,43.91,-0.21,-0.47%,1.02M,1:04:09,
,어플라이드 머티어리얼즈,103.95,104.92,103.39,0.48,0.46%,978.74K,1:04:07,
