,종목,현재가,고가,저가,변동,변동%,거래량,시간,
,테슬라,185.26,186.38,181.46,2.34,1.28%,30.57M,0:54:13,
,애플,143.91,144.46,142.96,-0.32,-0.22%,19.74M,0:54:12,
,아마존닷컴,92.64,94.41,92.63,-1.31,-1.39%,19.29M,0:54:12,
,AMD,74.11,74.49,72.89,0.92,1.26%,18.65M,0:54:12,
,엔비디아,158.33,159.32,156.83,0.06,0.04%,10.18M,0:54:12,
,카니발,9.43,9.47,9.31,0.1,1.13%,9.69M,0:54:12,
,메타,109.47,110.94,109.14,0.69,0.63%,8.39M,0:54:12,
,루멘 테크놀로지스,5.43,5.55,5.4,-0.09,-1.54%,8.20M,0:54:11,
,포드,13.84,13.9,13.74,0.11,0.79%,7.35M,0:54:11,
,뱅크오브아메리카,37.02,37.15,36.88,0.15,0.42%,6.42M,0:54:13,
,아메리칸항공그룹,13.96,14.06,13.83,0.13,0.93%,5.85M,0:54:08,
,인텔,29.09,29.18,28.74,0.36,1.25%,5.70M,0:54:11,
,알파벳 A,95.48,96.12,94.96,-0.57,-0.59%,4.95M,0:54:12,
,AT&T,18.89,18.92,18.75,0.07,0.37%,4.76M,0:54:08,
,마이크로소프트,240.67,242.78,240.11,-1.09,-0.45%,4.72M,0:54:12,
,알파벳 C,95.73,96.38,95.26,-0.52,-0.54%,4.71M,0:54:11,
,옥시덴탈,69.69,69.9,68.62,1.46,2.14%,3.96M,0:54:13,
,엑슨모빌,111.09,111.78,110.22,1.28,1.17%,3.86M,0:54:11,
,웰스 파고,47.5,47.61,47.04,0.52,1.11%,3.75M,0:54:12,
,나이키,106.54,106.75,105.12,1.58,1.50%,3.72M,0:54:04,
,시스코 시스템즈,48.28,48.41,47.95,0.2,0.42%,3.69M,0:54:11,
,킨더 모건,18.88,18.95,18.53,0.41,2.25%,3.69M,0:54:05,
,화이자,49.41,49.67,49.21,-0.17,-0.33%,3.50M,0:54:14,
,월트 디즈니,95.31,96.43,95.28,-0.38,-0.40%,3.49M,0:54:12,
,페이팔 홀딩스,79.83,80.75,78.14,-0.1,-0.12%,3.46M,0:54:11,
,컴캐스트,35.47,35.68,35.34,-0.12,-0.35%,3.31M,0:54:08,
,버라이즌 커뮤니케이션,38.31,38.37,37.95,0.07,0.20%,3.30M,0:54:08,
,데본 에너지,67.29,68.15,67.07,0.76,1.14%,3.16M,0:54:10,
,트루이스트,45.85,45.88,45.25,0.53,1.17%,3.05M,0:54:09,
,마이크론 테크놀로지,56.32,56.52,55.34,0.57,1.02%,3.00M,0:54:10,
,CSX,31.95,32.13,31.51,0.34,1.09%,2.98M,0:54:11,
,피델리티 내셔널 인포메이션 서비스(FIS),68.23,68.68,65.55,2.71,4.13%,2.90M,0:54:08,
,워너 브라더스 디스커버리,11.07,11.12,10.91,0.15,1.36%,2.91M,0:54:12,
,씨티그룹,47.86,47.9,47.31,0.63,1.34%,2.59M,0:54:10,
,코카콜라,62.35,62.57,62.3,-0.35,-0.56%,2.55M,0:54:12,
,액티비전 블리자드,74.33,74.45,73.82,-0.39,-0.52%,2.46M,0:53:56,
,슐럼버거,50.92,51.11,49.93,1.04,2.10%,2.49M,0:54:13,
,프리포트 맥모란,37.27,37.66,36.94,1.07,2.97%,2.43M,0:54:10,
,제너럴 모터스,39.8,40.04,39.56,0.41,1.05%,2.37M,0:54:12,
,마라톤 오일,30.46,30.68,30.18,0.66,2.20%,2.36M,0:54:15,
,윈 리조트,80.3,82.41,79.73,2.1,2.69%,2.31M,0:54:16,
,머크앤드컴퍼니,108.3,108.81,107.55,-0.15,-0.14%,2.21M,0:54:12,
,할리버튼,37.08,37.24,36.33,1.2,3.34%,1.97M,0:54:12,
,라스베가스 샌즈,44.41,45.09,44.17,0.77,1.75%,1.89M,0:54:02,
,제너럴 일렉트릭,85.72,85.81,85.02,0.25,0.29%,1.87M,0:54:13,
,보잉,174.33,175.94,172.56,2.5,1.45%,1.85M,0:54:12,
,셰브론,181.3,181.85,179.9,2.94,1.65%,1.84M,0:54:11,
,휴렛패커드 엔터프라이즈,15.63,15.7,15.56,0.09,0.55%,1.84M,0:54:10,
,노르웨이안 크루즈 홀딩스,16.14,16.2,15.98,0.23,1.45%,1.84M,0:54:03,
,헌팅턴 뱅크셰어스,15.28,15.29,15.07,0.23,1.50%,1.75M,0:54:10,
,Catalent Inc,47.95,48.59,46.21,1.03,2.20%,1.74M,0:54:13,
,파라마운트 글로벌 B,19.59,19.82,19.28,0.35,1.82%,1.72M,0:54:14,
,타깃,165.25,165.47,161.51,-0.12,-0.08%,1.69M,0:54:07,
,VF 코퍼레이션,32.07,32.54,31.56,-0.34,-1.05%,1.76M,0:54:15,
,넷플릭스,280.12,282.88,277.89,-1.05,-0.37%,1.62M,0:54:13,
,아파치,46.76,47.02,45.93,1.8,4.00%,1.60M,0:54:14,
,메드트로닉,76.45,77.14,76.09,0.33,0.43%,1.60M,0:54:09,
,JP모건,135.74,136.01,134.41,1.39,1.03%,1.57M,0:54:12,
,언더아머 A,9.81,9.84,9.42,0.42,4.48%,1.59M,0:53:52,
,코테라 에너지,27.82,28.11,27.48,0.68,2.49%,1.55M,0:54:12,
,브리스톨 마이어스 스퀴브,78.74,79.09,78.32,-0.4,-0.51%,1.49M,0:54:07,
,알트리아 그룹,45.63,45.77,45.15,0.48,1.07%,1.46M,0:54:10,
,퀄컴,120.61,121.37,120,1.07,0.90%,1.44M,0:54:11,
,넥스테라,82.43,83.13,81.97,-1.3,-1.55%,1.42M,0:54:11,
,U.S 뱅코프,44.3,44.37,43.7,0.56,1.29%,1.40M,0:54:12,
,리얼티인컴,62.43,62.45,61.45,0.69,1.12%,1.38M,0:54:09,
,키코프,18.4,18.45,18.19,0.07,0.40%,1.34M,0:54:11,
,뉴웰브랜즈,13.01,13.07,12.82,0.12,0.93%,1.29M,0:54:12,
,엑셀론,39.98,40.03,39.74,-0.25,-0.62%,1.31M,0:54:01,
,애보트 래버러토리스,105.02,105.38,104.64,-0.37,-0.35%,1.27M,0:54:08,
,뉴몬트 골드코프 코퍼레이션,45.6,45.68,44.73,1.28,2.89%,1.26M,0:54:11,
,다우,50.57,50.75,49.88,1.07,2.16%,1.24M,0:54:08,
,비자(V),208.98,210.15,208.82,-2.28,-1.08%,1.24M,0:54:11,
,유나이티드파슬서비스,184.25,185.19,182.25,4.34,2.41%,1.22M,0:54:07,
,월마트,153.05,153.45,152.57,-0.46,-0.30%,1.22M,0:54:01,
,포티넷,51.51,52.3,51.34,-0.57,-1.09%,1.21M,0:54:12,
,세일즈포스,152.88,154,152.52,-0.81,-0.53%,1.22M,0:54:14,
,델타항공,34.1,34.24,33.91,0.23,0.68%,1.19M,0:54:10,
,코노코필립스,126.41,126.73,125.04,2.56,2.07%,1.18M,0:54:11,
,발레로 에너지,136.25,137.35,135.28,1.41,1.05%,1.16M,0:53:55,
